Metric,Training,Validation,Testing
Loss,0.7719,0.7877,0.7638
Accuracy,0.8213,0.8185,0.8227
Micro F1,0.8213,0.8185,0.8227
Macro F1,0.5851,0.6314,0.6429
Precision@1,0.8214,0.8187,0.8227
Precision@3,0.9005,0.8962,0.9028
Precision@5,0.9231,0.919,0.9245
